# Metodo: Método de Runge-Kutta 4
# Intervalo: a = 0.000000000000000, b = 4.000000000000000
# N = 50
x,y
0.000000000000000,1.000000000000000
0.080000000000000,1.083287040000000
0.160000000000000,1.173510811031962
0.240000000000000,1.271249052890813
0.320000000000000,1.377127623608892
0.400000000000000,1.491824507081511
0.480000000000000,1.616074154475789
0.560000000000000,1.750672187222580
0.640000000000000,1.896480491706675
0.720000000000000,2.054432738278668
0.800000000000000,2.225540359928993
0.880000000000000,2.410899028908014
0.960000000000000,2.611695672764637
1.040000000000000,2.829216074730012
1.120000000000000,3.064853107114693
1.200000000000000,3.320115650441079
1.280000000000000,3.596638255423991
1.360000000000000,3.896191609669020
1.440000000000000,4.220693876111188
1.520000000000000,4.572222975798615
1.600000000000000,4.953029893672873
1.680000000000000,5.365553092548402
1.760000000000000,5.812434127589604
1.840000000000000,6.296534561271525
1.920000000000000,6.820954287137529
2.000000000000000,7.389051379688524
2.080000000000000,8.004463597510697
2.160000000000000,8.671131677335114
2.240000000000000,9.393324568190591
2.320000000000000,10.175666767234463
2.400000000000000,11.023167932303791
2.480000000000000,11.941254960808294
2.560000000000000,12.935806740379333
2.640000000000000,14.013191793797576
2.720000000000000,15.180309059255266
2.800000000000000,16.444632067085822
2.880000000000000,17.814256795842481
2.960000000000000,19.297953514168086
3.040000000000000,20.905222940420744
3.120000000000000,22.646357079668484
3.200000000000000,24.532505127617116
3.280000000000000,26.575744863481168
3.360000000000000,28.789159988955719
3.440000000000000,31.186923908522273
3.520000000000000,33.784390487568324
3.600000000000000,36.598192369482047
3.680000000000000,39.646347481286793
3.760000000000000,42.948374409814625
3.840000000000000,46.525417387219832
3.920000000000000,50.400381686165906
