# Metodo: P3 : Método de Euler
# Intervalo: a = 0.000000000000000, b = 25.000000000000000
# N = 200
t,X,Y
0.000000000000000,30.000000000000000,4.000000000000000
0.125000000000000,31.230000000000000,3.945000000000000
0.250000000000000,32.514294712500000,3.904706756250000
0.375000000000000,33.854352179088145,3.879242591060982
0.500000000000000,35.251578987094284,3.868889910944337
0.625000000000000,36.707292860300939,3.874106294927980
0.750000000000000,38.222689606051308,3.895543534162270
0.875000000000000,39.798803245809299,3.934071365886333
1.000000000000000,41.436457910546528,3.990806809504612
1.125000000000000,43.136209784693744,4.067150211428737
1.250000000000000,44.898277023249816,4.164829343930761
1.375000000000000,46.722455135725990,4.285953186747979
1.500000000000000,48.608014817678567,4.433077352582937
1.625000000000000,50.553578606867396,4.609283500046160
1.750000000000000,52.556972041793695,4.818275505296690
1.875000000000000,54.615044209084920,5.064495621453941
2.000000000000000,56.723451701948712,5.353264309563016
2.125000000000000,58.876399120645805,5.690947813451597
2.250000000000000,61.066328418289124,6.085157762270123
2.375000000000000,63.283548793830831,6.544986932908291
2.500000000000000,65.515798733694077,7.081284489398062
2.625000000000000,67.747732649266057,7.706972067435625
2.750000000000000,69.960327044619383,8.437398274777034
2.875000000000000,72.130206325754858,9.290722482588018
3.000000000000000,74.228897750477694,10.288307706884375
3.125000000000000,76.222040721202092,11.455084940995282
3.250000000000000,78.068600367878111,12.819825055553196
3.375000000000000,79.720172338413808,14.415216722261144
3.500000000000000,81.120517942197452,16.277597789043479
3.625000000000000,82.205537721427881,18.446123605207309
3.750000000000000,82.903974210354796,20.961085085482301
3.875000000000000,83.139219091839813,23.861028691809218
4.000000000000000,82.832658639060548,27.178314287602678
4.125000000000000,81.908974504030863,30.932832444431432
4.250000000000000,80.303650915168523,35.123869379069918
4.375000000000000,77.972539833761633,39.720635409207498
4.500000000000000,74.902649465449518,44.652788494953667
4.625000000000000,71.122404569064158,49.803269617798868
4.750000000000000,66.708736143624004,55.006561491549389
4.875000000000000,61.787982008212662,60.055482657929366
5.000000000000000,56.528290174207294,64.718217252779097
5.125000000000000,51.123281812967067,68.764324750215833
5.250000000000000,45.769665509627163,71.994833889734801
5.375000000000000,40.643994987611275,74.268991464230024
5.500000000000000,35.884370574175843,75.520534303627462
5.625000000000000,31.581073715334601,75.759750535134204
5.750000000000000,27.776835301914106,75.062426497248904
5.875000000000000,24.474434586113551,73.550549239780347
6.000000000000000,21.647913076600341,71.370805120959779
6.125000000000000,19.253993513132939,68.675682942077170
6.250000000000000,17.241560592566948,65.609672965265047
6.375000000000000,15.558409030444778,62.300943480419758
6.500000000000000,14.155396468252284,58.857596872124385
6.625000000000000,12.988572899154554,55.367150964230719
6.750000000000000,12.019935921948118,51.897964162795189
6.875000000000000,11.217359759683719,48.501622082200199
7.000000000000000,10.554092424063321,45.215632787474926
7.125000000000000,10.008074618500571,42.066048165150548
7.250000000000000,9.561228014305502,39.069818776844507
7.375000000000000,9.198789661964016,36.236808805843695
7.500000000000000,8.908725885054253,33.571465424158390
7.625000000000000,8.681234467504308,31.074170957934836
7.750000000000000,8.508331321948946,28.742320083552645
7.875000000000000,8.383512228023554,26.571166974115453
8.000000000000000,8.301478507133938,24.554484423519921
8.125000000000000,8.257915751925523,22.685071739667795
8.250000000000000,8.249315864203532,20.955142373052135
8.375000000000000,8.272834083480717,19.356616702439076
8.500000000000000,8.326174111261930,17.881340507585998
8.625000000000000,8.407495719404953,16.521245525753048
8.750000000000000,8.515340328041935,15.268465088659138
8.875000000000000,8.648570947281323,14.115415087278908
9.000000000000000,8.806323614771911,13.054848313944905
9.125000000000000,8.987968052773201,12.079888487159195
9.250000000000000,9.193075738853649,11.184048887378768
9.375000000000000,9.421393956696723,10.361239448045946
9.500000000000000,9.672824687412217,9.605765294560512
9.625000000000000,9.947407433496725,8.912319055692259
9.750000000000000,10.245305250316914,8.275968747992860
9.875000000000000,10.566793404185902,7.692142623131225
10.000000000000000,10.912250190043337,7.156612046378813
10.125000000000000,11.282149531928385,6.665473222585027
10.250000000000000,11.677055060928700,6.215128388921547
10.375000000000000,12.097615422056734,5.802266939702904
10.500000000000000,12.544560606631131,5.423846828518953
10.625000000000000,13.018699142624448,5.077076499543698
10.750000000000000,13.520916003944462,4.759397527570317
10.875000000000000,14.052171122192452,4.468468090637305
11.000000000000000,14.613498402208767,4.202147356581689
11.125000000000000,15.206005156536388,3.958480832757121
11.250000000000000,15.830871884464558,3.735686704351905
11.375000000000000,16.489352329049328,3.532143169565856
11.500000000000000,17.182773750802657,3.346376768058167
11.625000000000000,17.912537359839197,3.177051691562497
11.750000000000000,18.680118849312837,3.022960061624101
11.875000000000000,19.487068972015784,2.883013158491801
12.000000000000000,20.335014099016366,2.756233586909552
12.125000000000000,21.225656694054711,2.641748368662313
12.250000000000000,22.160775629880510,2.538782958138835
12.375000000000000,23.142226262480907,2.446656185911253
12.500000000000000,24.171940165763025,2.364776146562591
12.625000000000000,25.251924412130873,2.292637061026719
12.750000000000000,26.384260262756050,2.229817161011350
12.875000000000000,27.571101104186265,2.175977664314354
13.000000000000000,28.814669433983239,2.130862935909797
13.125000000000000,30.117252655690823,2.094301961752500
13.250000000000000,31.481197390506694,2.066211301870551
13.375000000000000,32.908901946881493,2.046599738486958
13.500000000000000,34.402806506459211,2.035574896228607
13.625000000000000,35.965380480892365,2.033352188298277
