# Metodo: Método de Taylor 2° Orden
# Intervalo: a = 0.000000000000000, b = 2.200000000000000
# N = 11
x,y
0.000000000000000,0.000000000000000
0.200000000000000,0.220000000000000
0.400000000000000,0.442073475614330
0.600000000000000,0.673657702485114
0.800000000000000,0.926050889898387
1.000000000000000,1.212184791286897
1.200000000000000,1.544524978444574
1.400000000000000,1.934046872016485
1.600000000000000,2.390122591101005
1.800000000000000,2.920778624169236
2.000000000000000,3.533003811957243
